courseName,courseSubject,courseNumber
Principles of Medical Imaging,PHYS,665
Justice and Social Conflict in a Globalized World,RELI,312
Fire and Smoke Control in Buildings,BLDG,6651
Handling and Stability of Road Vehicles,MECH,7711
Advanced Concepts in Quality Improvement,INDU,6341
Therapeutic Recreation: Cognitive Disabilities and Illness,AHSC,384
Gestion de projets,FTRA,455
Rédaction ,FRAA,413
Professional Internship I ,ARTT,471
Fundamentals and Applications of MIMO Communications,ELEC,6881
The Centre for Biological Applications of Mass Spectrometry, , 
Financial Reporting: Comprehensive Applications,ACCO,651
Introduction to Management Consulting,MANA,481
Mechanics of Briefing Notes,POLI,683
Time Series,MAST,677
Engineering Industrial Experience Reflective Learning III,ENGR,308
"Intermedia, Performance Practices and Performative Video",IMCA,332
Applied Field Project I,EMBA,633
Indoor Air Quality and Ventilation,BLDG,6751
Socially Engaged and Cctivist  Performance,PERC,421
Technical Writing and Research Methods for Engineers and Computer Scientists,ENCS,6721
Media Research Laboratory,COMS,684
Optical Devices for High-Speed Communications,ELEC,6261
Environment of World Business,MARK,462
Engineering Analysis of Smart Materials and Structures,MECH,6341
International Finance,FINA,470
Sculpture and Material Practices,SCUL,210
Social Economy & Sustainable Futures,ANTH,450
Institute for Investigative Journalism, , 
Introductory Italian II,ITAL,202
Elements of Production,DFTT,371
Methodology II,TESL,424
The Engaged Theatre Artist,ACTT ,209
Playwriting II,PERC,462
"Capstone Mechanical Engineering Design Project (also listed as MECH 490B, MECH490C)",MECH,490A
Numerical Methods in Physics with Python,PHYS,236
Introductory Spanish II,SPAN,202
Special Topics in Photography,PHOT,399
Initiation à la traduction générale Co-listé : FTRA 532,FTRA,632
Tutorial in literature,FTRA,681
Economic Data Analysis,ECON,324
Introductory German: Intensive,GERM,200
Surface Tension,CERA,392
Ensembles l,ACTT,231
Specialization Project,PSYC,485
Doctoral Research and Thesis,ENGR,8911
Deductive Logic,PHIL,214
Independent Study,CERA,450
Kenneth Woods Portfolio Management Program, , 
History and Digital Media,HIST,380
Secure programsming,INSE,6660
Screen Printing III,PRIN,431
Women in Jewish History: Modern,RELI ,392
